day,latitude,longitude
1,52.472665,-1.8977818
1,52.47455886,-1.90080653
1,52.4515712,-1.9327772
1,52.45028622,-1.93212766
1,52.4492362,-1.9266681
1,52.4517321,-1.9327773
1,52.45070005,-1.9358152
1,52.4515238,-1.9327771
1,52.4516103,-1.9327846
1,52.451523,-1.9327801
2,52.47340104,-1.89821972
2,52.472631,-1.8978608
2,52.4514701,-1.9328281
2,52.472631,-1.8978608
3,52.4515701,-1.9327587
3,52.45102515,-1.93628813
3,52.472631,-1.8978608
4,52.472631,-1.8978608
4,52.4722453,-1.8982359
4,52.4774761,-1.8994154
4,52.4514679,-1.9327676
4,52.4514621,-1.9327407
4,52.4514247,-1.9327415
4,52.4514777,-1.9327458
5,52.4514247,-1.9327415
5,52.4488525,-1.9373441
5,52.451459,-1.9327404
5,52.4514527,-1.9327443
5,52.4514918,-1.9327444
5,52.446065,-1.9295009
5,52.4513696,-1.932612
5,52.4515279,-1.9314576
5,52.450612,-1.931203
5,52.4460884,-1.9373285
5,52.4774938,-1.8994096
6,52.4726479,-1.8977934
6,52.4726479,-1.8977934
7,52.4726479,-1.8977934
7,52.47634224,-1.90701817
7,52.45138,-1.9326069
7,52.4726595,-1.8978095
7,52.4726527,-1.8978153
7,52.4726381,-1.8977841
7,52.4726421,-1.8978146
8,52.4726421,-1.8978146
8,52.4722313,-1.898178
8,52.4784239,-1.8989102
8,52.47772663,-1.90076945
9,52.4726421,-1.8978146
9,52.42262323,-1.92453078
10,52.4726527,-1.8978153
10,52.42262323,-1.92453078
11,52.42262323,-1.92453078
11,52.472673,-1.8978241
11,52.4726521,-1.897857
12,52.4726521,-1.897857
12,52.47805564,-1.90025957
12,52.47100866,-1.91340383
12,52.46189202,-1.92684883
12,52.4503505,-1.93630736
12,52.4514798,-1.9327
12,52.451501,-1.9327039
12,52.45013788,-1.93410791
12,52.4513823,-1.9326045
12,52.4498567,-1.9269673
12,52.4490171,-1.9284768
12,52.4514837,-1.9326967
13,52.4514837,-1.9326967
13,52.4726411,-1.89778
13,52.4809574,-1.89959851
14,52.4809574,-1.89959851
14,52.47345776,-1.89791254
14,52.4726736,-1.8978013
14,52.4718309,-1.8973448
14,52.4774985,-1.8995472
14,52.47703663,-1.90034049
14,52.4726181,-1.8977644
14,52.4775784,-1.8992598
14,52.4726609,-1.8978555
15,52.4726236,-1.8978221
15,52.4726236,-1.8978221
16,52.4726236,-1.8978221
16,52.47502617,-1.90018331
16,52.47279032,-1.90708848
16,52.4721914,-1.897903
17,52.4726315,-1.8977916
17,52.4726315,-1.8977916
18,52.4721888,-1.8978988
18,52.4514294,-1.9328342
18,52.4514313,-1.9328452
18,52.4514325,-1.9328349
18,52.4514329,-1.9328539
18,52.47056464,-1.91273934
19,52.4726632,-1.8977691
19,52.47492832,-1.90077528
19,52.47795584,-1.90136653
19,52.47817386,-1.90102545
19,52.4514529,-1.9328062
19,52.4514701,-1.9328281
19,52.4515237,-1.932798
19,52.451465,-1.9328218
19,52.451451,-1.9328062
19,52.47095226,-1.91347437
